target	assay	ctcf_retained	ctcf_lost	rad21_retained	rad21_lost	atac_gained	atac_lost	n_experiments	factor_class
AEBP2	TF ChIP-seq	1.57446193846598	0.568561872909699	2.23490252020922	0.867302688638335	5.36013400335008	1.68473960999674	1	TF
ARNT	TF ChIP-seq	8.7895421060234	2.95800817539948	7.2753209700428	6.13857569625132	10.3852596314908	5.2822636943268	1	TF
ATF2	TF ChIP-seq	10.1328903654485	5.18766257896693	12.8388017118402	8.29719572130674	23.785594639866	16.288918881184	1	TF
BCL11A	TF ChIP-seq	16.3368481872021	5.53325901151988	18.4498335710889	12.0651440686133	32.998324958124	10.6157211337088	1	TF
BCL11B	TF ChIP-seq	17.5574173046367	5.1207729468599	19.9714693295292	12.5180688060133	32.4958123953099	9.92227858705264	1	TF
BCL6B	TF ChIP-seq	3.38725985844287	2.15161649944259	3.32857822158821	2.90064565866821	9.21273031825796	6.83203797645088	1	TF
BHLHE40	TF ChIP-seq	1.53835042611585	0.546265328874024	2.09224916785544	1.16604028139154	1.6750418760469	0.786522083120026	1	TF
CTBP1	TF ChIP-seq	6.89729885887621	3.67892976588629	6.94246314788397	5.98438855160451	9.21273031825796	6.52022152929678	1	TF
CTCF	TF ChIP-seq	64.5023833598151	57.4897807506503	25.2971944840704	55.406186759179	48.7437185929648	59.0263880485875	2	CTCF/Cohesin
EGR2	TF ChIP-seq	36.3570706341182	14.9721293199554	42.9862101759391	26.8381998650862	70.0167504187605	29.1943966119049	1	TF
ELF4	TF ChIP-seq	13.2818142423805	5.26198439241918	17.3561578697099	10.8316469114388	17.2529313232831	5.51030855866338	1	TF
FEZF1	TF ChIP-seq	11.5484616495739	7.12002972872538	14.2177841179268	11.1785679868941	23.785594639866	17.2709079908782	1	TF
FOXA1	TF ChIP-seq	0.122779141990467	0.263842437755481	0.285306704707561	0.240917413510649	0.16750418760469	0.735328338064877	1	TF
FOXK2	TF ChIP-seq	2.10891232124801	1.24489037532516	2.71041369472183	1.91770261154476	3.18257956448911	1.81039698422302	1	TF
FOXM1	TF ChIP-seq	11.9817997977755	3.99108138238573	12.0779838326201	7.88281777006842	14.2378559463987	5.76627728393913	1	TF
GFI1B	TF ChIP-seq	6.8684096489961	3.41137123745819	6.60960532572515	5.03999229064277	14.9078726968174	8.10257364918323	1	TF
GLI2	TF ChIP-seq	1.19890221002456	1.08138238573021	1.1887779362815	1.2624072467958	3.01507537688442	3.7650672499651	1	TF
GLI4	TF ChIP-seq	11.2956810631229	3.90561129691564	13.2667617689016	7.53589669461309	20.7705192629816	6.04551589333085	1	TF
GLIS1	TF ChIP-seq	45.8760652896143	20.8732813080639	46.980504041845	37.8143972246314	74.2043551088777	31.7168520500768	1	TF
GLIS2	TF ChIP-seq	43.1027011411238	17.3950204384987	48.5021398002853	32.6780379685844	68.676716917923	21.7061479033834	1	TF
H3K27ac	Histone ChIP-seq	37.6643073811931	17.3690078037904	46.8616262482168	30.1965886094247	56.8676716917923	19.1045748592172	2	Active mark
H3K36me3	Histone ChIP-seq	0.476671963021811	0.561129691564474	0.237755587256301	0.173460537727667	17.9229480737018	8.37250430492856	1	Active mark
H3K4me1	Histone ChIP-seq	4.79560884009822	4.3422519509476	2.16357584403233	3.40175387877036	42.6298157453936	22.9417787499418	2	Active mark
H3K4me3	Histone ChIP-seq	47.114690163224	20.3734671125975	59.8430813124108	36.696540425942	68.8442211055276	19.7840554754037	2	Active mark
H3K9me3	Histone ChIP-seq	0.0433338148201647	0.0204384986993683	0.0475511174512601	0.0144550448106389	0.921273031825796	0.556150230371853	2	Repressive mark
HDGF	TF ChIP-seq	8.84732052578362	2.02155332590115	14.0275796481217	6.09039221354919	20.7705192629816	3.69991157444036	1	TF
HIC1	TF ChIP-seq	26.4625162501806	10.2601263470829	30.4802662862577	19.7166811217115	48.2412060301507	16.456462046819	1	TF
IKZF3	TF ChIP-seq	32.890365448505	15.8900037160907	31.2886352829291	27.3778548713501	49.4137353433836	23.3583096756178	1	TF
INSM2	TF ChIP-seq	19.8179979777553	7.82608695652174	24.6314788397527	15.4861713404645	32.998324958124	12.9334015916601	1	TF
KLF1	TF ChIP-seq	37.0287447638307	14.1360089186176	49.548264384213	28.8522694420353	70.3517587939699	21.0220133103737	1	SP/KLF
KLF10	TF ChIP-seq	32.897587750975	12.032701597919	46.3147883975273	24.9590440397032	54.7738693467337	16.098105831433	1	SP/KLF
KLF16	TF ChIP-seq	31.5397948866099	11.0516536603493	40.9415121255349	23.3689891105329	48.5762144053601	13.8502350258296	1	SP/KLF
KLF17	TF ChIP-seq	37.4837498194424	13.6640654031958	41.5121255349501	29.6135684687289	56.4489112227806	19.6537441243543	1	SP/KLF
KLF7	TF ChIP-seq	21.4863498483316	7.29840208101078	27.4845458868283	16.2763804567794	38.1909547738693	10.3783683157258	1	SP/KLF
KLF8	TF ChIP-seq	45.2405026722519	16.9788182831661	57.8221588207323	35.7521441649802	69.179229480737	21.2267882905943	1	SP/KLF
KLF9	TF ChIP-seq	39.9682218691319	14.1657376439985	53.3523537803138	30.0954032957502	65.8291457286432	17.4384511565132	1	SP/KLF
L3MBTL2	TF ChIP-seq	34.4503827820309	15.9531772575251	38.1359961959106	27.7440493398863	51.2562814070352	18.0062363289431	1	TF
LEF1	TF ChIP-seq	6.12451249458327	2.33370494240059	6.37184973846885	3.93177218849378	11.892797319933	3.5602922697445	1	TF
